OBJECTID,ROADPREMOD,ROADPREDIR,ROADNAME,ROADTYPE,ROADPOSTDIR,ROADPOSTMOD,FULLNAME,ALTROADNAME,MSAGNAME,MUNICIPALITY,STATUS,LASTUPDATE,LASTEDITOR,ROADPRETYPE,FULLNAMECASS,CapCASSStName,JoinID
872887,,W,Coronet,Ct,,,West Coronet Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,W Coronet Ct,W CORONET CT,474
872888,,,Corsica,Pl,,,Corsica Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Corsica Pl,CORSICA PL,475
872889,,,Corte,Pl,,,Corte Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Corte Pl,CORTE PL,476
872890,,N,Cortez,St,,,North Cortez Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,N Cortez St,N CORTEZ ST,477
872891,,S,Cortez,St,,,South Cortez Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,S Cortez St,S CORTEZ ST,478
872892,,,Cosmos,Ln,,,Cosmos Lane,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cosmos Ln,COSMOS LN,479
872893,,,Country Club,Dr,,,Country Club Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Country Club Dr,COUNTRY CLUB DR,480
872894,,,Couret,Pl,,,Couret Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Couret Pl,COURET PL,481
872895,,,Cove,Dr,,,Cove Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cove Dr,COVE DR,482
872896,,,Coventry,St,,,Coventry Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Coventry St,COVENTRY ST,483
872897,,,Coveview,Ct,,,Coveview Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Coveview Ct,COVEVIEW CT,484
872898,,,Cox,St,,,Cox Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cox St,COX ST,485
872899,,,Craigie,Rd,,,Craigie Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Craigie Rd,CRAIGIE RD,486
872900,,,Cranbrook,Dr,,,Cranbrook Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cranbrook Dr,CRANBROOK DR,487
872901,,,Crane,St,,,Crane Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crane St,CRANE ST,488
872902,,,Crescent,St,,,Crescent Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crescent St,CRESCENT ST,489
872903,,,Crestmont,Rd,,,Crestmont Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crestmont Rd,CRESTMONT RD,490
872904,,,Crete,St,,,Crete Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crete St,CRETE ST,491
872905,,,Croftway,Ct,,,Croftway Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Croftway Ct,CROFTWAY CT,492
872906,,,Cromwell,Pl,,,Cromwell Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cromwell Pl,CROMWELL PL,493
872907,,,Crowder,Blvd,,,Crowder Boulevard,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crowder Blvd,CROWDER BLVD,494
872908,,,Croyden,Ave,,,Croyden Avenue,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Croyden Ave,CROYDEN AVE,495
872909,,,Crozat,St,,,Crozat Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crozat St,CROZAT ST,496
872910,,,Crystal,St,,,Crystal Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Crystal St,CRYSTAL ST,497
872911,,,Cucullu,St,,,Cucullu Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cucullu St,CUCULLU ST,498
872912,,,Cumberland,Ct,,,Cumberland Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cumberland Ct,CUMBERLAND CT,499
872913,,,Cunningham,Ct,,,Cunningham Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cunningham Ct,CUNNINGHAM CT,500
872914,,,Cupid,St,,,Cupid Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cupid St,CUPID ST,501
872915,,,Curie,St,,,Curie Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Curie St,CURIE ST,502
872916,,,Curran,Rd,,,Curran Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Curran Rd,CURRAN RD,503
872917,,,Curtis,Dr,,,Curtis Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Curtis Dr,CURTIS DR,504
872918,,,Cynthia,Dr,,,Cynthia Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cynthia Dr,CYNTHIA DR,505
872919,,,Cypress,St,,,Cypress Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cypress St,CYPRESS ST,506
872920,,,Cypress Acres,Dr,,,Cypress Acres Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cypress Acres Dr,CYPRESS ACRES DR,507
872921,,,Cypress Point,Ln,,,Cypress Point Lane,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Cypress Point Ln,CYPRESS POINT LN,508
872922,,,d'Abadie,St,,,d'Abadie Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,d'Abadie St,D'ABADIE ST,509
872923,,,Dahlia,Walk,,,Dahlia Walk,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dahlia Walk,DAHLIA WALK,510
872924,,,Daisy,Ln,,,Daisy Lane,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Daisy Ln,DAISY LN,511
872925,,,Dale,Ct,,,Dale Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dale Ct,DALE CT,512
872926,,,Dale,St,,,Dale Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dale St,DALE ST,513
872927,,,Dalewood,Rd,,,Dalewood Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dalewood Rd,DALEWOOD RD,514
872928,,,Danbury,Dr,,,Danbury Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Danbury Dr,DANBURY DR,515
872929,,,Daniel,Dr,,,Daniel Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Daniel Dr,DANIEL DR,516
872930,,,Danneel,St,,,Danneel Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Danneel St,DANNEEL ST,517
872931,,,Danny,Dr,,,Danny Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Danny Dr,DANNY DR,518
872932,,,Dante,St,,,Dante Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dante St,DANTE ST,519
872933,,,Danube,Rd,,,Danube Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Danube Rd,DANUBE RD,520
872934,,,Darby,St,,,Darby Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Darby St,DARBY ST,521
872935,,,Darensburg,Ct,,,Darensburg Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Darensburg Ct,DARENSBURG CT,522
872936,,,Darleen,Ct,,,Darleen Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Darleen Ct,DARLEEN CT,523
872937,,,Dart,St,,,Dart Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dart St,DART ST,524
872938,,,Dartmoor,Dr,,,Dartmoor Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dartmoor Dr,DARTMOOR DR,525
872939,,,Dauphine,St,,,Dauphine Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dauphine St,DAUPHINE ST,526
872940,,,Dave Dixon,Dr,,,Dave Dixon Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dave Dixon Dr,DAVE DIXON DR,527
872941,,,Davey,St,,,Davey Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Davey St,DAVEY ST,528
872942,,,David,St,,,David Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,David St,DAVID ST,529
872943,,,Dayna,Ct,,,Dayna Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dayna Ct,DAYNA CT,530
872944,,,de Armas,St,,,de Armas Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,de Armas St,DE ARMAS ST,531
872945,,,de Battista,Pl,,,de Battista Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,de Battista Pl,DE BATTISTA PL,532
872946,,,De Ment,St,,,De Ment Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,De Ment St,DE MENT ST,533
872947,,,De Montluzin,St,,,De Montluzin Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,De Montluzin St,DE MONTLUZIN ST,534
872948,,,Deanne,St,,,Deanne Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deanne St,DEANNE ST,535
872949,,,Dearborn,Rd,,,Dearborn Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Dearborn Rd,DEARBORN RD,536
872950,,,Deauville,Ct,,,Deauville Court,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deauville Ct,DEAUVILLE CT,537
872951,,,Deborah,St,,,Deborah Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deborah St,DEBORAH ST,538
872952,,,De Boré,Cir,,,De Boré Circle,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,De Boré Cir,DE BORÉ CIR,539
872953,,,De Boré,Dr,,,De Boré Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,De Boré Dr,DE BORÉ DR,540
872954,,,Decatur,St,,,Decatur Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Decatur St,DECATUR ST,541
872955,,,Deer Park,Blvd,,,Deer Park Boulevard,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deer Park Blvd,DEER PARK BLVD,542
872956,,E,Deer Park,Blvd,,,East Deer Park Boulevard,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,E Deer Park Blvd,E DEER PARK BLVD,543
872957,,W,Deer Park,Blvd,,,West Deer Park Boulevard,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,W Deer Park Blvd,W DEER PARK BLVD,544
872958,,,Deerfield,Dr,,,Deerfield Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deerfield Dr,DEERFIELD DR,545
872959,,,Deers,St,,,Deers Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Deers St,DEERS ST,546
872960,,,Delachaise,St,,,Delachaise Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delachaise St,DELACHAISE ST,547
872961,,,Delacroix,Rd,,,Delacroix Road,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delacroix Rd,DELACROIX RD,548
872962,,,Delaronde,St,,,Delaronde Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delaronde St,DELARONDE ST,549
872963,,,Delaware,St,,,Delaware Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delaware St,DELAWARE ST,550
872964,,,Delery,St,,,Delery Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delery St,DELERY ST,551
872965,,,Delgado,Dr,,,Delgado Drive,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delgado Dr,DELGADO DR,552
872966,,,Delord,St,,,Delord Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Delord St,DELORD ST,553
872967,,,Denny,St,,,Denny Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Denny St,DENNY ST,554
872968,,,Derbes,St,,,Derbes Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Derbes St,DERBES ST,555
872969,,N,Derbigny,St,,,North Derbigny Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,N Derbigny St,N DERBIGNY ST,556
872970,,S,Derbigny,St,,,South Derbigny Street,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,S Derbigny St,S DERBIGNY ST,557
872971,,,Derby,Pl,,,Derby Place,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Derby Pl,DERBY PL,558
872972,,,Desaix,Blvd,,,Desaix Boulevard,,,Orleans,Current,2015/02/23 13:50:20+00,CITYOFNO\cmard,,Desaix Blvd,DESAIX BLVD,559
872973,,,Desire,Dr,,,Desire Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Desire Dr,DESIRE DR,560
872974,,,Desire,Pkwy,,,Desire Parkway,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Desire Pkwy,DESIRE PKWY,561
872975,,,Desire,St,,,Desire Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Desire St,DESIRE ST,562
872976,,,Deslonde,St,,,Deslonde Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Deslonde St,DESLONDE ST,563
872977,,,De Soto,St,,,De Soto Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,De Soto St,DE SOTO ST,564
872978,,,Devine,Ave,,,Devine Avenue,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Devine Ave,DEVINE AVE,565
872979,,,d'Hemecourt,St,,,d'Hemecourt Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,d'Hemecourt St,D'HEMECOURT ST,566
872980,,,Diagonal,Dr,,,Diagonal Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Diagonal Dr,DIAGONAL DR,567
872981,,N,Diamond,St,,,North Diamond Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,N Diamond St,N DIAMOND ST,568
872982,,S,Diamond,St,,,South Diamond Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,S Diamond St,S DIAMOND ST,569
872983,,,Diana,St,,,Diana Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Diana St,DIANA ST,570
872984,,,Dickens,Dr,,,Dickens Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dickens Dr,DICKENS DR,571
872985,,,Dinkins,St,,,Dinkins Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dinkins St,DINKINS ST,572
872986,,,Division,St,,,Division Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Division St,DIVISION ST,573
872987,,,Dixon,St,,,Dixon Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dixon St,DIXON ST,574
872988,,,Dodt,Ave,,,Dodt Avenue,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dodt Ave,DODT AVE,575
872989,,,Dogwood,Dr,,,Dogwood Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dogwood Dr,DOGWOOD DR,576
872990,,,Dominic Mai,Dr,,,Dominic Mai Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dominic Mai Dr,DOMINIC MAI DR,577
872991,,,Dominican,St,,,Dominican Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dominican St,DOMINICAN ST,578
872992,,,Dominique,Pl,,,Dominique Place,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dominique Pl,DOMINIQUE PL,579
872993,,,Donna,Dr,,,Donna Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Donna Dr,DONNA DR,580
872994,,,Donner,Dr,,,Donner Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Donner Dr,DONNER DR,581
872995,,,Doral,Ct,,,Doral Court,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Doral Ct,DORAL CT,582
872996,,,Dorchester,St,,,Dorchester Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dorchester St,DORCHESTER ST,583
872997,,N,d'Orgenois,St,,,North d'Orgenois Street,North Dorgenois Street,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,N d'Orgenois St,N D'ORGENOIS ST,584
872998,,S,d'Orgenois,St,,,South d'Orgenois Street,South Dorgenois Street,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,S d'Orgenois St,S D'ORGENOIS ST,585
872999,,,Dorian,St,,,Dorian Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dorian St,DORIAN ST,586
873000,,,Dorothea,St,,,Dorothea Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dorothea St,DOROTHEA ST,587
873001,,,Dorsett,Dr,,,Dorsett Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dorsett Dr,DORSETT DR,588
873002,,,Dorsiere,St,,,Dorsiere Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dorsiere St,DORSIERE ST,589
873003,,,Douglass,St,,,Douglass Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Douglass St,DOUGLASS ST,590
873004,,,Dove,St,,,Dove Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dove St,DOVE ST,591
873005,,,Dover,Pl,,,Dover Place,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dover Pl,DOVER PL,592
873006,,,Downey,St,,,Downey Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Downey St,DOWNEY ST,593
873007,,,Downman,Rd,,,Downman Road,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Downman Rd,DOWNMAN RD,594
873008,,,Downs,St,,,Downs Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Downs St,DOWNS ST,595
873009,,,Doyle,Ct,,,Doyle Court,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Doyle Ct,DOYLE CT,596
873010,,,Dreux,Ave,,,Dreux Avenue,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dreux Ave,DREUX AVE,597
873011,,,Drexel,Dr,,,Drexel Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Drexel Dr,DREXEL DR,598
873012,,,Dreyfous,Dr,,,Dreyfous Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dreyfous Dr,DREYFOUS DR,599
873013,,,Drifter,Ln,,,Drifter Lane,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Drifter Ln,DRIFTER LN,600
873014,,,Driftwood,Dr,,,Driftwood Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Driftwood Dr,DRIFTWOOD DR,601
873015,,,Drum,St,,,Drum Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Drum St,DRUM ST,602
873016,,,Dryades,St,,,Dryades Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dryades St,DRYADES ST,603
873017,,,Duane,Rd,,,Duane Road,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Duane Rd,DUANE RD,604
873018,,,Dublin,St,,,Dublin Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dublin St,DUBLIN ST,605
873019,,,Dubreuil,St,,,Dubreuil Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dubreuil St,DUBREUIL ST,606
873020,,,Duckhook,Dr,,,Duckhook Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Duckhook Dr,DUCKHOOK DR,607
873021,,,Duels,St,,,Duels Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Duels St,DUELS ST,608
873022,,,Dufossat,St,,,Dufossat Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dufossat St,DUFOSSAT ST,609
873023,,,Dugue,St,,,Dugue Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dugue St,DUGUE ST,610
873024,,,Duke,Ct,,,Duke Court,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Duke Ct,DUKE CT,611
873025,,,Dumaine,St,,,Dumaine Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dumaine St,DUMAINE ST,612
873026,,,Dundee,St,,,Dundee Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dundee St,DUNDEE ST,613
873027,,,Dune,Dr,,,Dune Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dune Dr,DUNE DR,614
873028,,,Dunleith,Ct,,,Dunleith Court,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dunleith Ct,DUNLEITH CT,615
873029,,,Victory,Dr,,,Victory Drive,,,Orleans,Retired,2015/02/23 13:51:10+00,CITYOFNO\cmard,,Victory Dr,VICTORY DR,2147
873030,,,Duplessis,St,,,Duplessis Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Duplessis St,DUPLESSIS ST,616
873031,,N,Dupré,St,,,North Dupré Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,N Dupré St,N DUPRÉ ST,617
873032,,S,Dupré,St,,,South Dupré Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,S Dupré St,S DUPRÉ ST,618
873033,,,Durbridge,Dr,,,Durbridge Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Durbridge Dr,DURBRIDGE DR,619
873034,,,Durham,Dr,,,Durham Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Durham Dr,DURHAM DR,620
873035,,,Dwyer,Blvd,,,Dwyer Boulevard,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dwyer Blvd,DWYER BLVD,621
873036,,,Dwyer,Rd,,,Dwyer Road,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Dwyer Rd,DWYER RD,622
873037,,,Eads,St,,,Eads Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eads St,EADS ST,623
873038,,,Eagle,St,,,Eagle Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eagle St,EAGLE ST,624
873039,,,Eagle Point,Ln,,,Eagle Point Lane,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eagle Point Ln,EAGLE POINT LN,625
873040,,,Eagle Trace,Dr,,,Eagle Trace Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eagle Trace Dr,EAGLE TRACE DR,626
873041,,,Earhart,Blvd,,,Earhart Boulevard,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Earhart Blvd,EARHART BLVD,627
873042,,,East,Dr,,,East Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,East Dr,EAST DR,628
873043,,,Easter,Ln,,,Easter Lane,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Easter Ln,EASTER LN,629
873044,,E,Easterlyn,Cir,,,East Easterlyn Circle,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,E Easterlyn Cir,E EASTERLYN CIR,630
873045,,N,Easterlyn,Cir,,,North Easterlyn Circle,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,N Easterlyn Cir,N EASTERLYN CIR,631
873046,,S,Easterlyn,Cir,,,South Easterlyn Circle,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,S Easterlyn Cir,S EASTERLYN CIR,632
873047,,,Eastern,St,,,Eastern Street,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eastern St,EASTERN ST,633
873048,,,Eastgate,Ave,,,Eastgate Avenue,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eastgate Ave,EASTGATE AVE,634
873049,,,Eastmore,Rd,,,Eastmore Road,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eastmore Rd,EASTMORE RD,635
873050,,,Eastover,Dr,,,Eastover Drive,,,Orleans,Current,2015/02/23 13:50:21+00,CITYOFNO\cmard,,Eastover Dr,EASTOVER DR,636
873051,,,Eastover,Dr,S,,Eastover Drive South,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Eastover Dr S,EASTOVER DR S,637
873052,,,Eastview,Dr,,,Eastview Drive,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Eastview Dr,EASTVIEW DR,638
873053,,,Ebbtide,Dr,,,Ebbtide Drive,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Ebbtide Dr,EBBTIDE DR,639
873054,,,Eden,St,,,Eden Street,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Eden St,EDEN ST,640
873055,,,Edenboro,Rd,,,Edenboro Road,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Edenboro Rd,EDENBORO RD,641
873056,,,Edge,St,,,Edge Street,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Edge St,EDGE ST,642
873057,,,Edgefield,Dr,,,Edgefield Drive,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Edgefield Dr,EDGEFIELD DR,643
873058,,,Edgelake,Ct,,,Edgelake Court,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Edgelake Ct,EDGELAKE CT,644
873059,,,Edinburgh,St,,,Edinburgh Street,,,Orleans,Current,2015/02/23 13:50:23+00,CITYOFNO\cmard,,Edinburgh St,EDINBURGH ST,645
